Date,Close/Last,Volume,Open,High,Low
11/04/2022,$138.38,140814800,$142.09,$142.67,$134.38
11/03/2022,$138.88,97918520,$142.06,$142.8,$138.75
11/02/2022,$145.03,93604620,$148.945,$152.17,$145
11/01/2022,$150.65,80379350,$155.08,$155.45,$149.13
10/31/2022,$153.34,97943170,$153.155,$154.24,$151.92
10/28/2022,$155.74,164762400,$148.2,$157.5,$147.82
10/27/2022,$144.8,109180200,$148.07,$149.046,$144.13
10/26/2022,$149.35,88436170,$150.96,$151.99,$148.04
10/25/2022,$152.34,74732290,$150.09,$152.49,$149.36
10/24/2022,$149.45,75981920,$147.185,$150.23,$146
10/21/2022,$147.27,86548610,$142.87,$147.8479,$142.649
10/20/2022,$143.39,64521990,$143.02,$145.89,$142.65
10/19/2022,$143.86,61758340,$141.69,$144.9492,$141.5
10/18/2022,$143.75,99136610,$145.49,$146.7,$140.61
10/17/2022,$142.41,85250940,$141.065,$142.9,$140.27
10/14/2022,$138.38,88597970,$144.31,$144.52,$138.19
10/13/2022,$142.99,113224000,$134.99,$143.59,$134.37
10/12/2022,$138.34,70433740,$139.13,$140.36,$138.16
10/11/2022,$138.98,77033670,$139.9,$141.35,$138.22
10/10/2022,$140.42,74899000,$140.42,$141.89,$138.5729
10/07/2022,$140.09,85925560,$142.54,$143.1,$139.445
10/06/2022,$145.43,68402170,$145.81,$147.54,$145.22
10/05/2022,$146.4,79470970,$144.075,$147.38,$143.01
10/04/2022,$146.1,87830060,$145.03,$146.22,$144.26
10/03/2022,$142.45,114311700,$138.21,$143.07,$137.685
09/30/2022,$138.2,124925300,$141.28,$143.1,$138
09/29/2022,$142.48,128138200,$146.1,$146.72,$140.68
09/28/2022,$149.84,146691400,$147.64,$150.6414,$144.84
09/27/2022,$151.76,84442740,$152.74,$154.72,$149.945
09/26/2022,$150.77,93339410,$149.66,$153.7701,$149.64
09/23/2022,$150.43,96029910,$151.19,$151.47,$148.56
09/22/2022,$152.74,86652540,$152.38,$154.47,$150.91
09/21/2022,$153.72,101696800,$157.34,$158.74,$153.6
09/20/2022,$156.9,107689800,$153.4,$158.08,$153.08
09/19/2022,$154.48,81474250,$149.31,$154.56,$149.1
09/16/2022,$150.7,162278800,$151.21,$151.35,$148.37
09/15/2022,$152.37,90481110,$154.65,$155.24,$151.38
09/14/2022,$155.31,87965410,$154.785,$157.1,$153.6106
09/13/2022,$153.84,122656600,$159.9,$160.54,$153.37
09/12/2022,$163.43,104956000,$159.59,$164.26,$159.3
09/09/2022,$157.37,68081010,$155.47,$157.82,$154.75
09/08/2022,$154.46,84923850,$154.64,$156.36,$152.68
09/07/2022,$155.96,87449570,$154.825,$156.67,$153.61
09/06/2022,$154.53,73714840,$156.47,$157.09,$153.69
09/02/2022,$155.81,76957770,$159.75,$160.362,$154.965
09/01/2022,$157.96,74229900,$156.64,$158.42,$154.67
08/31/2022,$157.22,87991090,$160.305,$160.58,$157.14
08/30/2022,$158.91,77906200,$162.13,$162.56,$157.72
08/29/2022,$161.38,73313950,$161.145,$162.9,$159.82
08/26/2022,$163.62,78960980,$170.57,$171.05,$163.56
08/25/2022,$170.03,51218210,$168.78,$170.14,$168.35
08/24/2022,$167.53,53841520,$167.32,$168.11,$166.245
08/23/2022,$167.23,54147080,$167.08,$168.71,$166.65
08/22/2022,$167.57,69026810,$169.69,$169.86,$167.135
08/19/2022,$171.52,70346300,$173.03,$173.74,$171.3101
08/18/2022,$174.15,62290080,$173.75,$174.9,$173.12
08/17/2022,$174.55,79542040,$172.77,$176.15,$172.57
08/16/2022,$173.03,56377050,$172.78,$173.71,$171.6618
08/15/2022,$173.19,54091690,$171.52,$173.39,$171.345
08/12/2022,$172.1,68039380,$169.82,$172.17,$169.4
08/11/2022,$168.49,57149160,$170.06,$170.99,$168.19
08/10/2022,$169.24,70170540,$167.68,$169.34,$166.9
08/09/2022,$164.92,63135500,$164.02,$165.82,$163.25
08/08/2022,$164.87,60362340,$166.37,$167.81,$164.2
08/05/2022,$165.35,56696990,$163.21,$165.85,$163
08/04/2022,$165.81,55474140,$166.005,$167.19,$164.43
08/03/2022,$166.13,82507490,$160.84,$166.59,$160.75
08/02/2022,$160.01,59907030,$160.1,$162.41,$159.63
08/01/2022,$161.51,67829380,$161.01,$163.59,$160.89
07/29/2022,$162.51,101786900,$161.24,$163.63,$159.5
07/28/2022,$157.35,81378730,$156.98,$157.64,$154.41
07/27/2022,$156.79,78620690,$152.58,$157.33,$152.16
07/26/2022,$151.6,55138690,$152.265,$153.085,$150.8
07/25/2022,$152.95,53623950,$154.01,$155.04,$152.28
07/22/2022,$154.09,66675410,$155.39,$156.28,$153.41
07/21/2022,$155.35,65086640,$154.5,$155.57,$151.94
07/20/2022,$153.04,64823410,$151.12,$153.72,$150.37
07/19/2022,$151,82982370,$147.92,$151.23,$146.91
07/18/2022,$147.07,81420870,$150.74,$151.57,$146.7
07/15/2022,$150.17,76259930,$149.78,$150.86,$148.2
07/14/2022,$148.47,78140740,$144.08,$148.95,$143.25
07/13/2022,$145.49,71185560,$142.99,$146.45,$142.1201
07/12/2022,$145.86,77588760,$145.76,$148.45,$145.05
07/11/2022,$144.87,63305110,$145.67,$146.64,$143.78
07/08/2022,$147.04,64547800,$145.265,$147.55,$145
07/07/2022,$146.35,66253710,$143.29,$146.55,$143.28
07/06/2022,$142.92,74064250,$141.355,$144.12,$141.08
07/05/2022,$141.56,73429640,$137.77,$141.61,$136.93
07/01/2022,$138.93,71051550,$136.04,$139.04,$135.66
06/30/2022,$136.72,98964470,$137.25,$138.37,$133.7737
06/29/2022,$139.23,66242410,$137.46,$140.67,$136.67
06/28/2022,$137.44,67315330,$142.13,$143.422,$137.325
06/27/2022,$141.66,70207910,$142.695,$143.49,$140.965
06/24/2022,$141.66,89116840,$139.9,$141.91,$139.77
06/23/2022,$138.27,72433770,$136.82,$138.59,$135.63
06/22/2022,$135.35,73409230,$134.79,$137.76,$133.91
06/21/2022,$135.87,81000490,$133.42,$137.06,$133.32
06/17/2022,$131.56,134520300,$130.065,$133.079,$129.81
06/16/2022,$130.06,107961500,$132.08,$132.39,$129.04
06/15/2022,$135.43,91532970,$134.29,$137.34,$132.16
06/14/2022,$132.76,84784330,$133.13,$133.89,$131.48
06/13/2022,$131.88,122207100,$132.87,$135.2,$131.44
06/10/2022,$137.13,91566640,$140.28,$140.76,$137.06
06/09/2022,$142.64,69472980,$147.08,$147.95,$142.53
06/08/2022,$147.96,53950200,$148.58,$149.8697,$147.46
06/07/2022,$148.71,67808150,$144.345,$149,$144.1
06/06/2022,$146.14,71598380,$147.03,$148.5689,$144.9
06/03/2022,$145.38,88570290,$146.9,$147.97,$144.46
06/02/2022,$151.21,72348060,$147.83,$151.27,$146.86
06/01/2022,$148.71,74286640,$149.9,$151.74,$147.68
05/31/2022,$148.84,103718400,$149.07,$150.66,$146.84
05/27/2022,$149.64,90978500,$145.39,$149.68,$145.26
05/26/2022,$143.78,90601550,$137.39,$144.34,$137.14
05/25/2022,$140.52,92482700,$138.43,$141.785,$138.34
05/24/2022,$140.36,104132700,$140.805,$141.97,$137.33
05/23/2022,$143.11,117726300,$137.79,$143.26,$137.65
05/20/2022,$137.59,137426100,$139.09,$140.7,$132.61
05/19/2022,$137.35,136095600,$139.88,$141.66,$136.6
05/18/2022,$140.82,109742900,$146.85,$147.3601,$139.9
05/17/2022,$149.24,78336250,$148.86,$149.77,$146.68
05/16/2022,$145.54,86643780,$145.55,$147.5199,$144.18
05/13/2022,$147.11,113990900,$144.59,$148.105,$143.11
05/12/2022,$142.56,182602000,$142.77,$146.2,$138.8
05/11/2022,$146.5,142689800,$153.5,$155.45,$145.81
05/10/2022,$154.51,115366700,$155.52,$156.74,$152.93
05/09/2022,$152.06,131577900,$154.925,$155.83,$151.49
